ID,x,y,det
1,-774770,-3479164,1
2,1856811,6040268,1
3,-563590,4397168,1
4,3763483,-484969,1
5,-1932684,2246339,1
6,-6178827,6506685,1
7,8474469,2489248,1
8,-1011359,-9349675,1
9,912544,3913093,1
10,-6223599,-8532300,1
11,7320806,1956063,1
12,-4485833,-6721412,1
13,-6282667,-1984575,1
14,7196456,-765079,1
15,7264395,-1115504,1
16,-1427718,4316313,1
17,-6992448,8789995,1
18,4558699,9779378,1
19,-6282108,7238893,1
20,-318290,-5955858,1
21,-6062608,-1164079,1
22,-8346900,-7995842,1
23,3320800,-4111980,1
24,-3924584,-6633204,1
25,9845520,6064221,1
26,4091216,-5369382,1
27,-6827099,2008937,1
28,9367221,9482301,1
29,-8390272,-8912983,1
30,2431965,-5016418,1
31,-3988530,-4918065,1
32,4984209,541353,1
33,-3036924,574285,1
34,-4843686,1900,1
35,-5076834,-4861493,1
36,8671403,-3120416,1
37,2431459,-3533906,1
38,-4188481,-3448844,1
39,-3617236,4150309,1
40,-4343994,-5817725,1
41,-9487100,-6338131,1
42,6735734,-71605,1
43,3006613,-6214661,1
44,5476559,-8850678,1
45,9821672,-7161841,1
46,328225,-8128411,1
47,3148262,-5412679,1
48,7732034,4878045,1
49,-5987884,3806979,1
50,-1580406,-2200792,1
51,-3968851,-6185958,0
52,-4337522,9421511,0
53,-732095,6934165,0
54,2334560,167540,0
55,-1228550,8472705,0
56,9562014,2909533,0
57,-4751105,9802705,0
58,-4440077,1276598,0
59,-6576237,9798683,0
60,8677389,8372077,0
61,8761861,272044,0
62,7808534,-367502,0
63,6224015,-3864318,0
64,7321265,-1233297,0
65,6680879,3816713,0
66,-5684485,9726262,0
67,3853939,8812815,0
68,7024623,2398613,0
69,-1598133,2792428,0
70,2240047,-3416824,0
71,-102858,-1127611,0
72,-8264888,9266672,0
73,9903470,-2888299,0
74,8274217,-5652432,0
75,-7604862,6623575,0
76,4843536,-7500955,0
77,-2533967,-6948396,0
78,-1594739,-6038187,0
79,4664788,-184270,0
80,-7766611,-8989344,0
81,1691259,3297416,0
82,7820353,2503639,0
83,8285001,9240964,0
84,784213,-7454042,0
85,4434785,-864136,0
86,3355912,5245196,0
87,-6918049,1253898,0
88,-2649491,3536680,0
89,-5288055,2533601,0
90,9720179,-9006325,0
91,-2787542,-5465843,0
92,2249227,6819167,0
93,-4566748,-3561729,0
94,-7348329,-4978235,0
95,-4368962,6335808,0
96,7869621,8610173,0
97,6150831,9811464,0
98,-1487617,1712690,0
99,8963852,9187905,0
100,6689217,-234963,0
101,-898386,223262,1
102,-34462,-298766,1
103,3939,-385432,1
104,-617062,-634584,1
105,561386,648217,1
106,-834500,691114,1
107,30054,168571,1
108,331072,-266250,1
109,628040,664641,1
110,-920885,900866,1
111,-31419,-860685,1
112,831768,-640809,1
113,578227,-844800,1
114,723570,-401802,1
115,-685978,490565,1
116,731897,971023,1
117,-833416,280474,1
118,-667568,-313259,1
119,53472,408763,1
120,441551,676130,1
121,806598,492140,1
122,-107220,700152,1
123,270831,-418768,1
124,-373431,-512017,1
125,652238,138211,1
126,319896,-81477,1
127,-765553,275687,1
128,-802628,740691,1
129,63288,-350193,1
130,624345,-689155,1
131,86750,-350536,1
132,9726,55685,1
133,-627566,-181490,1
134,488994,-545047,1
135,76485,-330970,1
136,-467781,211983,1
137,-473815,-273241,1
138,-995099,-420183,1
139,166821,-652331,1
140,944063,-226567,1
141,258624,240120,1
142,-62271,-735469,1
143,716070,-690084,1
144,726104,558511,1
145,-572759,973099,1
146,635627,461903,1
147,-126518,-251211,1
148,775309,-176451,1
149,-288865,-113556,1
150,-504213,869308,1
151,-940417,664862,1
152,588730,-635436,1
153,771766,716028,1
154,848047,555711,1
155,389904,709033,1
156,449885,-987743,1
157,214904,-283720,1
158,238633,-221881,1
159,-493277,106578,1
160,320656,-412813,1
161,-199686,-362371,1
162,-550645,486637,1
163,-419471,376875,1
164,41164,-231059,1
