ID,x,y
1,-6435040,8420968
2,2089681,4643640
3,-5304944,3810429
4,785806,7500619
5,4177759,4258097
6,3287270,6403734
7,8469177,8504275
8,-2587902,7700022
9,-2679815,5439996
10,2611138,9269457
11,-1553118,7278047
12,-280797,1991820
13,532541,6950582
14,-1345452,9445827
15,-9104790,8766327
16,2543903,5597903
17,8766795,4166519
18,7918902,8529670
19,-7752237,9349052
20,8683278,8616592
21,-8001224,48053
22,6526078,5569833
23,7510211,4387148
24,-7300467,3145742
25,4467516,1843140
26,9468334,3550520
27,2687090,7530863
28,9810716,6789284
29,8677204,4211740
30,8420358,6270131
31,9358923,6968420
32,-8837303,6138269
33,3454474,3488523
34,-6171071,7961160
35,5487211,7693278
36,2868372,959475
37,3596529,4604623
38,-9695604,9027478
39,-346859,3077712
40,-921957,2099063
41,-6572724,4588356
42,5054172,263923
43,3795145,6397092
44,7398688,5111542
45,-8240608,8170181
46,4669547,9936930
47,-8804616,2827874
48,3735156,8563508
49,-1568180,435929
50,-1629973,7161606
51,-3354497,7279021
52,2807075,5735577
53,7939830,6328972
54,-6950610,5668278
55,-8492920,8879108
56,5950194,1334571
57,-5908302,655759
58,-8115513,7111593
59,-5736359,4635593
60,5311590,3196844
61,325228,1065471
62,1765816,1665122
63,5922238,4975584
64,-1465866,3441147
65,4131774,2167429
66,-477311,9815427
67,-9466646,6173688
68,2666363,4383379
69,-6762360,7701416
70,-7364470,6585049
71,-8033292,9649788
72,-9769752,2976908
73,-2247565,6940719
74,-1756915,2951724
75,-3205075,831181
76,-7602162,6613625
77,7704107,7549848
78,-2812776,380633
79,-1754773,2960994
80,2280101,62943
81,-3365790,748553
82,-9343977,240835
83,478489,2464619
84,-2149000,2810349
85,1834572,8458539
86,-3226046,8636931
87,3352889,7844656
88,-7415441,3636104
89,-4218982,3476599
90,-1114104,8996362
91,-4687357,1946698
92,8895035,7250151
93,-3632673,933635
94,-7134260,1267629
95,-7011643,3524303
96,7183237,9445633
97,-5924275,39775
98,-5873824,7090827
99,-4019215,8426882
100,5688183,3853297
101,257273,8110276
102,-938695,1753088
103,420147,6310712
104,-861946,7121623
105,-856741,1174304
106,803059,576283
107,-746258,9158691
108,-653888,1897228
109,-5230,8994087
110,367922,8205024
111,-404238,6174963
112,-34611,8874495
113,-864091,2249677
114,240913,6951957
115,527270,8120929
116,-233056,9965221
117,-744020,5594216
118,458968,7813782
119,458654,1384755
120,380176,6861558
121,287468,4159855
122,-101568,9783012
123,-455073,4904115
124,-788091,7908721
125,704860,7304460
126,-986207,5946857
127,430457,4230203
128,-926180,691165
129,-765923,9295752
130,369032,6794768
131,-617957,6513935
132,-700434,4205465
133,-215707,5134429
134,-311406,2072218
135,120726,1244153
136,189796,1301784
137,561235,531615
138,806269,4829855
139,462932,6046321
140,748713,1754505
141,-104370,2151307
142,-685386,9115418
143,-79347,9961181
144,164929,315810
145,-444820,3170784
146,-611727,343596
147,-43023,9939258
148,-440193,4730329
149,169771,8532591
150,259613,4995613
151,-563511,2881912
152,584970,7464073
153,992790,942093
154,-486440,8596281
155,-836972,5494576
156,-559936,9775974
157,-784389,4290997
158,855814,6693869
159,-835216,5325414
160,199036,6866159
161,-978629,2225188
162,755924,335446
163,-716522,3236562
164,-865252,2834428
165,-250540,2652232
166,295087,8886860
167,827667,2860479
168,-562549,4988714
169,-612196,3638221
170,436876,648627
171,255340,4806149
172,805918,3528450
173,-515683,1217241
174,483231,1753076
175,-832559,566697
176,306329,1703966
177,913661,4367681
178,810516,7595440
179,-363954,6001957
180,-564030,9852186
181,-165394,8177533
182,-113256,5778068
183,311511,8868025
184,123585,1924322
185,-382653,8147685
186,365902,1802604
187,364454,9766639
188,-617157,9137787
189,-528504,5502879
190,803948,376661
191,37308,8097004
192,-516359,743577
193,-513526,8609528
194,-501165,1604842
195,743388,7133112
196,-768758,3362992
197,558206,6532680
198,64515,9590898
199,-630923,8001227
200,-51569,4202093
201,276737,8491185
202,798609,7153769
203,-81665,1424773
204,-441986,7622732
205,7160,728150
206,-144528,8259369
207,-743257,8624404
208,74773,316620
209,-407083,1647714
210,43214,1871984
211,627738,3884115
212,-444597,3355140
213,-826312,1150241
214,-504067,4290023
215,885674,7713082
216,-454854,3202045
217,908007,4947633
218,-201175,9601049
219,205620,6690151
220,253817,3317752
221,198042,1197842
222,797864,657956
223,-882233,2518599
224,-384855,4759037
225,-462664,5928094
226,71351,6630298
227,-301176,2196446
228,281649,7762036
229,-938663,2780409
230,-253378,8231500
231,-647423,176000
232,601890,1093957
233,-854654,5526879
234,856240,4361143
235,-641129,4795567
236,-978725,1116156
237,696983,1111227
238,651662,2287621
239,706501,2655747
240,875275,3137611
241,202140,3150801
242,-208446,9487555
243,-520565,7863137
244,40772,3871642
245,-135344,495189
246,916985,9625649
247,-694258,9560748
248,537879,3619408
249,-48475,9898282
250,166969,2241659
251,-473914,1513182
252,-655592,3220404
253,-834940,59321
254,126677,2475499
255,218995,6553939
256,984655,6597998
257,-186099,4779332
258,-684919,2887039
259,692577,6304442
260,181043,8745066
261,-804049,906568
262,-565383,1361281
263,131852,200060
264,-379769,5516003
265,-929078,8647048
266,-675304,9902946
267,-853249,7579124
268,-290881,1511735
269,230380,3385593
270,-142489,6791423
271,658610,9025414
272,41687,8723487
273,-119939,9569839
274,-178993,2271614
275,875959,5457003
276,327265,7227108
277,476762,8898246
278,606080,2450950
279,913561,5264134
280,719892,7038428
281,-792006,3665987
282,262129,5654211
283,762024,2614687
284,165064,8033256
285,265209,1147974
286,-419905,2624055
287,356994,661392
288,-353109,1008485
289,-887221,8551152
290,25318,2895848
291,130751,883773
292,599570,917555
293,-583612,6741791
294,965263,3977737
295,-465972,2804522
296,197831,9395624
297,919404,6900134
298,643509,6429631
299,-644970,9853008
300,245714,5674895
301,-688390,1679603
302,-670576,4952722
303,673886,8847971
304,-44307,408395
305,588091,6540736
306,-241888,6489343
307,28607,3137208
308,-281866,6689392
309,-593536,4361867
310,158738,413470
311,-988172,2909233
312,387850,1353411
313,285573,8551383
314,-262274,7820741
315,-135083,4609837
316,418299,8262385
317,-737908,5000883
318,385755,1131855
319,-705060,6144438
320,-811065,6640685
321,663597,8183384
322,487541,9725455
323,200202,9196679
324,-99444,708978
325,574571,6365494
326,862909,8941807
327,868659,9393223
328,231329,67878
329,626478,9166719
330,465676,5217222
331,-606865,6756257
332,-357324,1440829
333,456254,8161275
334,-168532,6138098
335,-222791,9901476
336,268772,8639944
337,795595,3399186
338,353942,9188404
339,-899200,5297013
340,491366,6546896
341,10995,2753422
342,622426,4303609
343,-477530,6350563
344,948127,7951751
345,-587540,3214613
346,908740,1063257
347,790960,8185307
348,853255,8501044
349,291006,2084956
350,-540122,5880677
351,618495,9251798
352,-699528,5148149
353,166091,5738220
354,456664,6166631
355,347141,7455593
356,25024,5494672
357,-973683,6546915
358,349724,6603290
359,981568,7162446
360,980780,1158486
361,174294,8293496
362,617291,9849449
363,-665522,3352822
364,229611,4996281
365,-461515,1692594
366,23397,1960406
367,593695,2356390
368,272098,4477725
369,-892504,4680587
370,-724806,1625448
371,370507,339326
372,-758738,6822243
373,-381755,3968494
374,-366453,64914
375,763785,6174492
376,747632,2699435
377,14034,1609542
378,364518,2496459
379,178160,7469990
380,546753,8621220
381,-236412,9733198
382,-359605,8978920
383,-223197,2341636
384,-473744,5834343
385,-983370,8977918
386,-167842,4200347
387,-248429,2940778
388,939451,5890998
389,225090,2076403
390,241698,8098978
391,-416326,3945579
392,-386175,1387349
393,-90296,2670521
394,172684,9150816
395,-73009,2643853
396,-248070,6017961
397,757374,1116477
398,741938,6578285
399,-544004,3776608
400,-496344,1283037
401,-581100,6357276
402,243860,4885349
403,35990,1842080
404,965340,3733875
405,891976,7077245
406,476888,4384654
407,683786,231074
408,-159840,689088
409,-974901,8772611
410,-551064,1379017
411,998566,2564912
412,450530,4335407
413,-222063,7181112
414,-880218,5612177
415,-433853,3355606
416,666722,5470465
417,936483,8783994
418,852878,1073608
419,-398244,7508243
420,-337288,2488738
421,985864,5098064
422,-481491,636919
423,-384942,9397367
424,-957334,6550005
425,156870,4356580
426,-726910,6205043
427,-446131,4498957
428,-211216,8144410
429,-921039,9527915
430,-9639,5216057
431,532426,8364502
432,737988,420145
433,118538,4333790
434,97408,1025371
435,-860296,5167506
436,119333,7771796
437,104463,2951714
438,-181977,2493389
439,923621,7893497
440,-459730,3883772
441,-846236,4272745
442,769894,2374459
443,-491248,9794269
444,890858,3722629
445,424534,5011203
446,-247814,9332585
447,321787,1867446
448,-770955,5479484
449,259617,2418685
450,-589832,7947105
451,880680,2632463
452,638789,9388179
453,-316714,4591888
454,-777753,4941422
455,-890784,5730018
456,-809106,3623388
457,-85166,4225084
458,-911359,1150866
459,-983622,4903165
460,-514274,8923772
461,-104261,6221116
462,680557,5131118
463,863216,8768021
464,140925,3137483
465,252071,3993614
466,-339004,6181632
467,-896991,6842099
468,-440990,2848220
469,-672245,8046549
470,-612019,7898173
471,24200,9434236
472,-375336,4605654
473,358319,4673906
474,-134816,2666514
475,-537697,9468589
476,291115,4686058
477,827584,4524084
478,648258,8594491
479,-570027,2807028
480,808038,6173591
481,-628935,7989846
482,-912446,453724
483,688444,8123912
484,7129,233422
485,-903094,5838380
486,-415490,3674616
487,418495,809723
488,813061,6731831
489,-472646,8200277
490,93723,6575626
491,139947,9542247
492,401006,3062827
493,392068,7559376
494,311260,7336840
495,-257516,5098256
496,946804,8984642
497,23623,1355774
498,-246054,4177
499,-754796,8952948
500,-518926,3450016
501,-543049,9222123
502,693372,3260127
503,487062,526799
504,722177,5880145
505,-550734,8644156
506,942933,6801387
507,663445,3529525
508,507946,3028891
509,651768,5222585
510,-836908,3827490
511,-794954,8291210
512,-584809,2047487
513,-741051,5133592
514,-846038,6229114
515,379630,105094
516,561276,8321369
517,986249,6343041
518,-681883,266312
519,-818258,8868867
520,798795,3639495
521,-562650,4521639
522,174445,6895976
523,-378253,7278987
524,-53010,8391189
525,-968755,429288
526,244374,558143
527,660295,4301506
528,-984474,4975305
529,-445904,8783725
530,744691,7794816
531,-479732,398770
532,-133126,7116409
533,-502263,5961239
534,-596232,7497670
535,-643123,7404959
536,-544036,9406427
537,239154,8623067
538,-875691,953810
539,-705968,860374
540,300210,5304961
541,498109,4504652
542,-676999,7233530
543,-984811,6068878
544,-300744,3007700
545,139049,2286752
546,-808112,3320787
547,990501,7371475
548,258043,8592556
549,-622914,45709
550,-830249,5754771
551,-466598,4329052
552,-564785,8286846
553,-754533,7983645
554,969648,7833834
555,236412,6450432
556,263879,3177614
557,950952,8259162
558,36560,1292629
559,329247,4642453
560,334196,9718474
561,882684,4263446
562,-19954,1977757
563,-873121,5192745
564,-64520,3170665
565,-550887,4874748
566,-562857,6447874
567,650459,9558536
568,-250397,3764608
569,920640,9489769
570,568451,6965630
571,472818,7236625
572,325140,9651601
573,834984,9716718
574,-342241,4435481
575,928222,6280259
576,-987474,8449465
577,-770116,2268100
578,816170,6506875
579,-21070,8865941
580,-421996,9906749
581,145222,546049
582,956389,4595257
