ID,i,x
1,-893848,8660782
2,-7344955,4561620
3,-6816948,-3707203
4,-5042137,-23539
5,-5482763,-9518128
6,-897565,6492265
7,-9369946,3967983
8,-8996084,9223871
9,-8419352,-1899808
10,-3459467,-6001650
11,-6422128,-2616176
12,-5379848,-5302672
13,-5481904,2379977
14,-5165054,3499039
15,-9514962,5566229
16,-8207874,7247137
17,-531026,-1389753
18,-3279397,583998
19,-431583,7822068
20,-9662345,4469643
21,-805638,422817
22,-9896164,6207454
23,-7399836,2547300
24,-8210657,8555433
25,-418329,5478753
26,-8540015,6251939
27,-367798,9305301
28,-596123,7302656
29,-8990709,-2024907
30,-4382383,3617380
31,-502147,-6804618
32,-1152691,-30457
33,-6480541,-2065282
34,-9615935,-1567702
35,-3077265,-1303263
36,-8368476,-1533590
37,-1666666,9343626
38,-8522729,4663417
39,-9164698,-1999286
40,-791210,5534421
41,-1280,7080489
42,-551513,9853305
43,-6336606,-4679360
44,-5273189,2964447
45,-3245250,-7508732
46,-639516,-8092027
47,-656243,-7936026
48,-1206201,-9564074
49,-5994057,-250373
50,-488916,719396
51,-6044267,3368377
52,-5011021,-7013896
53,-324065,-9580728
54,-668118,8664395
55,-9490923,-5363219
56,-7901335,-8979604
57,-3387444,9983498
58,-7313608,-875505
59,-3995644,-2124658
60,-970093,3964446
61,-7780973,-5130848
62,-5700020,108696
63,-2702554,-8893828
64,-1672491,-9830960
65,-4787918,1404685
66,-1366258,-9109352
67,-7722409,-8291085
68,-9802528,-4693127
69,-2096544,7926752
70,-874332,-8807811
71,-7345182,9925408
72,-7186591,-4985866
73,-2632176,-4913620
74,-8223736,1477806
75,-5278800,1188832
76,-9911634,6386881
77,-2921731,9207909
78,-1471957,-6204847
79,-8143192,-5054776
80,-2225967,6288655
81,-6698842,8383738
82,-1338579,-5175207
83,-6214462,2704965
84,-5773984,2592505
85,-8350405,9961291
86,-6606252,-1721918
87,-1636937,8926120
88,-1449266,-8193733
89,-7242744,-481961
90,-4140650,-8281105
91,-9713756,-2521819
92,-4573793,2205962
93,-2575376,-3809805
94,-1261362,9332137
95,-7784459,897159
96,-8287258,1282872
97,-1086595,3277892
98,-2505372,-1311931
99,-2656472,2719406
100,-8588328,5010306
101,-8659647,9404057
102,-8487534,1356281
103,-6330919,-7365799
104,-8955967,5595830
105,-7381086,-5473234
106,-674351,-1226701
107,-5614918,6619631
108,-3280805,6120297
109,-5803727,-689897
110,-6472768,4608410
111,-8016633,7236491
112,-8026542,7274636
113,-411919,-4173542
114,-8352248,5120648
115,-4976335,-6647705
116,-2976461,3130519
117,-8264187,-2896267
118,-6575414,5032934
119,-4842960,6328954
120,-4684763,4015456
121,-5829394,2411037
122,-6290175,-9179874
123,-4070042,6401691
124,-4283967,2803000
125,-1255681,6616634
126,-9380078,-5863996
127,-4439398,-316962
128,-4933062,2625932
129,-9292478,-4537835
130,-6079258,1416443
131,-7747016,1219402
132,-6955103,-9693905
133,-5785629,8975358
134,-3313040,-1012037
135,-3062773,3334892
136,-3334880,899169
137,-2200508,2713592
138,-7914597,-2685465
139,-3537841,-6486494
140,-1313629,-6269179
141,-9989012,-14667
142,-9655724,-6011327
143,-1511371,-1220764
144,-3749873,-2034221
145,-3446982,-27941
146,-5775812,3459186
147,-2982068,9696331
148,-782787,298142
149,-4026088,-8340303
150,-6659747,-4508056
151,-318325,-9868395
152,-9588320,-5205153
153,-9785744,-3916981
154,-6059256,8790165
155,-1165363,-4442594
156,-6812531,-3977905
157,-8053553,9591887
158,-1783715,-6635864
159,-5869965,-1301041
160,-2908649,-426602
161,-4138520,-3177883
162,-5590764,256235
163,-4734452,-5430371
164,-4995844,7180760
165,-5999727,3868804
166,-4075525,-4985556
167,-1153808,-7100778
168,-1254988,-5401925
169,-187530,6549438
170,-743035,-6680798
171,-5523947,-8109440
172,-9496537,9183941
173,-5000514,8342744
174,-1368988,-5232239
175,-6126603,-5859873
176,-6507529,-1200694
177,-2082593,-585017
178,-3037006,5800137
179,-7976800,7922537
180,-796575,1439824
181,-1714680,6832286
182,-1462425,7206449
183,-700203,8167091
184,-7039261,5992318
185,-3589462,3055074
186,-3165038,209258
187,-3330899,-9907680
188,-7712115,-2312942
189,-3538537,-8509962
190,-4185122,-1905296
191,-1755576,-2591975
192,-6010366,511559
193,-9658277,-1843856
194,-3588090,-8343034
195,-8609205,6682939
196,-732280,4415517
197,-8228009,798938
198,-4864988,4195113
199,-1146740,-3520880
200,-1540059,-5648672
201,-9901870,9657091
202,-3795791,-6394450
203,-1999155,861428
204,-1295441,1301423
205,-9755525,-7579259
206,-5788092,-2795028
207,-1865013,-6178736
208,-7256657,6973511
209,-4108371,-3174821
210,-9125004,-114777
211,-4634733,-9028426
212,-173023,-161817
213,-1023191,-5008040
214,-2315942,-5442044
215,-5483087,-3933699
216,-3297883,5117527
217,-2925974,2430675
218,-4201398,-7383633
219,-6820194,6917466
220,-4952835,-2827731
221,-1296718,-3208866
222,-4492264,-1972817
223,-3264179,-2568100
224,-3829327,-5722478
225,-162130,-8120102
226,-9417368,8955672
227,-7474791,-4250042
228,-1446384,2544187
229,-9728312,8640595
230,-1841527,8007373
231,-4524245,-7789383
232,-340793,-997739
233,-8330510,3797955
234,-2788331,-7389334
235,-191102,1732199
236,-6903135,-1336428
237,-3735259,2575072
238,-2316669,-7506068
239,-1235107,-3916706
240,-1487302,3632150
241,-3950050,1707145
242,-7969389,3418956
243,-4744056,-9391614
244,-3814646,-4888016
245,-1013394,-5721313
246,-6274442,-5743181
247,-4127234,5285437
248,-4010749,-8757627
249,-61684,6863137
250,-3927331,-9581153
