ID,i,x
1,-1905268,-4774373
2,-4675674,-6480206
3,-4377806,-4628605
4,-3106334,1706018
5,-6864883,-8923537
6,-6627345,-4395427
7,-2165092,6779684
8,-1552445,-1626138
9,-8464286,4995275
10,-1407265,-7201387
11,-4792848,-45974
12,-7134450,8980476
13,-9182931,8804727
14,-2837425,2954985
15,-9064917,1385294
16,-5365985,9120999
17,-2274325,-6196036
18,-9094151,6869758
19,-1778607,-8243630
20,-6895048,-1782595
21,-2708979,1226487
22,-9929566,33003
23,-8667404,-169998
24,-4863788,2804262
25,-4463438,6229812
26,-7257858,8641177
27,-1679683,-1349679
28,-8130112,-9760347
29,-5231342,8235461
30,-3502112,1883672
31,-5160609,-8318724
32,-7564845,6530413
33,-2257883,1577668
34,-7138792,-7307025
35,-5285876,-6068621
36,-1843990,-4180607
37,-3196088,8893182
38,-3124465,-7191195
39,-901735,-5575503
40,-7821671,-2230422
41,-9465824,2260346
42,-3931484,2365229
43,-9553218,1473374
44,-1657453,-9617581
45,-585792,-5736755
46,-3200007,5921852
47,-5786863,1482423
48,-1286504,7152076
49,-9222747,-864973
50,-4481678,3660002
51,-70255,-5290616
52,-5694113,538597
53,-4739391,7044639
54,-6892390,-7970715
55,-2802849,5656050
56,-7071517,3308055
57,-6272673,-2250817
58,-1887060,-8357681
59,-7464869,9509916
60,-4501338,-1993433
61,-2608977,720266
62,-2534632,5191659
63,-5412822,6791331
64,-7394825,2745920
65,-3436761,-9365901
66,-123580,-4827406
67,-4100523,-1498691
68,-2936851,3327653
69,-9678306,-3363230
70,-9688574,-533043
71,-4903972,-6373469
72,-2338980,-24968
73,-5928658,-9007173
74,-3304580,-3715750
75,-7150534,-396471
76,-8036434,-9897144
77,-6459167,101585
78,-4495026,4769427
79,-9439660,4314875
80,-2666799,4283675
81,-1006359,4925307
82,-7145991,2966341
83,-7255308,-5752324
84,-272803,-1410669
85,-943573,7086470
86,-305446,8031037
87,-1204533,648694
88,-6972140,1852782
89,-7899451,4571574
90,-7076429,-3269310
91,-3342701,-4178407
92,-6435833,-3532159
93,-9401584,-4642430
94,-9910193,-7963146
95,-8783587,-4316506
96,-962608,-3596983
97,-5320967,-9541496
98,-8510048,7142621
99,-8264593,-6217133
100,-7600654,5900343
101,-1696022,-3828320
102,-5044988,5016864
103,-8951236,6554110
104,-7564455,6956938
105,-1002488,4943918
106,-192507,7887880
107,-320896,-9937655
108,-772672,-8895062
109,-5192585,-397804
110,-3657800,5593248
111,-1498594,1393629
112,-6773435,-5088275
113,-4525087,-3436953
114,-7694746,7856264
115,-9047462,3789182
116,-6953394,-7617333
117,-3019764,-6029335
118,-8569142,7685388
119,-7231991,-5848369
120,-1073091,-7982759
121,-4509809,5687821
122,-3682378,7831699
123,-2684792,-8834682
124,-6329687,-1007758
125,-5117824,4861675
126,-7341009,5335453
127,-1426578,-5728115
128,-2405812,2755491
129,-2481259,-9550881
130,-2790010,-8864130
131,-5002579,-5086883
132,-7840898,1830006
133,-4405246,-6794164
134,-7313850,3110491
135,-9728783,636937
136,-6558502,-2628873
137,-8391731,2938148
138,-4305667,-8685481
139,-9969581,5173930
140,-6452555,-8630102
141,-23543,-4106193
142,-4544558,8054444
143,-2711458,-6504716
144,-9836189,9384907
145,-7989501,5275376
146,-503917,-1761244
147,-4296235,-6456799
148,-2127835,9413665
149,-261937,-5355836
150,-6200603,7105112
151,-6535916,3752176
152,-4929356,6099868
153,-4720110,-580885
154,-4435514,1558414
155,-4631621,-6849343
156,-9701228,9459192
157,-8172509,1155009
158,-3727186,-9152574
159,-4617087,-7255003
160,-9812886,4302314
161,-6270896,7899150
162,-5488408,8024648
163,-2895039,-911881
164,-7143348,5038878
165,-6630534,-6393131
